name,m_f,approx_percentage,num_in_us,rank,source_census,source_web
JENELLE,f,0.004,"6,072",1598,1990,http://names.mongabay.com/female_names_alpha.htm
JENETTE,f,0.002,"3,036",2181,1990,http://names.mongabay.com/female_names_alpha.htm
JENEVA,f,0.001,"1,518",4150,1990,http://names.mongabay.com/female_names_alpha.htm
JENI,f,0.002,"3,036",2420,1990,http://names.mongabay.com/female_names_alpha.htm
JENICE,f,0.002,"3,036",2985,1990,http://names.mongabay.com/female_names_alpha.htm
JENIFER,f,0.023,"34,916",568,1990,http://names.mongabay.com/female_names_alpha.htm
JENIFFER,f,0.004,"6,072",1501,1990,http://names.mongabay.com/female_names_alpha.htm
JENINE,f,0.002,"3,036",2585,1990,http://names.mongabay.com/female_names_alpha.htm
JENISE,f,0.002,"3,036",2366,1990,http://names.mongabay.com/female_names_alpha.htm
JENNA,f,0.03,"45,543",453,1990,http://names.mongabay.com/female_names_alpha.htm
JENNEFER,f,0.002,"3,036",2457,1990,http://names.mongabay.com/female_names_alpha.htm
JENNELL,f,0.001,"1,518",3882,1990,http://names.mongabay.com/female_names_alpha.htm
JENNETTE,f,0.004,"6,072",1671,1990,http://names.mongabay.com/female_names_alpha.htm
JENNI,f,0.004,"6,072",1617,1990,http://names.mongabay.com/female_names_alpha.htm
JENNIE,f,0.073,"110,821",265,1990,http://names.mongabay.com/female_names_alpha.htm
JENNIFER,f,0.932,"1,414,861",6,1990,http://names.mongabay.com/female_names_alpha.htm
JENNIFFER,f,0.003,"4,554",1965,1990,http://names.mongabay.com/female_names_alpha.htm
JENNINE,f,0.001,"1,518",3562,1990,http://names.mongabay.com/female_names_alpha.htm
JENNY,f,0.068,"103,230",282,1990,http://names.mongabay.com/female_names_alpha.htm
JERALDINE,f,0.003,"4,554",1897,1990,http://names.mongabay.com/female_names_alpha.htm
JEREMY,f,0.001,"1,518",4057,1990,http://names.mongabay.com/female_names_alpha.htm
JERI,f,0.015,"22,771",702,1990,http://names.mongabay.com/female_names_alpha.htm
JERICA,f,0.001,"1,518",3263,1990,http://names.mongabay.com/female_names_alpha.htm
JERILYN,f,0.003,"4,554",1784,1990,http://names.mongabay.com/female_names_alpha.htm
JERLENE,f,0.001,"1,518",3963,1990,http://names.mongabay.com/female_names_alpha.htm
JERRI,f,0.012,"18,217",801,1990,http://names.mongabay.com/female_names_alpha.htm
JERRICA,f,0.001,"1,518",3078,1990,http://names.mongabay.com/female_names_alpha.htm
JERRIE,f,0.004,"6,072",1663,1990,http://names.mongabay.com/female_names_alpha.htm
JERRY,f,0.011,"16,699",838,1990,http://names.mongabay.com/female_names_alpha.htm
JESENIA,f,0.002,"3,036",2282,1990,http://names.mongabay.com/female_names_alpha.htm
JESICA,f,0.005,"7,590",1394,1990,http://names.mongabay.com/female_names_alpha.htm
JESSE,f,0.008,"12,145",1044,1990,http://names.mongabay.com/female_names_alpha.htm
JESSENIA,f,0.002,"3,036",2565,1990,http://names.mongabay.com/female_names_alpha.htm
JESSI,f,0.002,"3,036",2297,1990,http://names.mongabay.com/female_names_alpha.htm
JESSIA,f,0.001,"1,518",4056,1990,http://names.mongabay.com/female_names_alpha.htm
JESSICA,f,0.49,"743,864",26,1990,http://names.mongabay.com/female_names_alpha.htm
JESSIE,f,0.098,"148,773",215,1990,http://names.mongabay.com/female_names_alpha.htm
JESSIKA,f,0.001,"1,518",3262,1990,http://names.mongabay.com/female_names_alpha.htm
JESTINE,f,0.001,"1,518",4055,1990,http://names.mongabay.com/female_names_alpha.htm
JESUS,f,0.002,"3,036",2281,1990,http://names.mongabay.com/female_names_alpha.htm
JESUSA,f,0.002,"3,036",2947,1990,http://names.mongabay.com/female_names_alpha.htm
JESUSITA,f,0.001,"1,518",4054,1990,http://names.mongabay.com/female_names_alpha.htm
JETTA,f,0.001,"1,518",3127,1990,http://names.mongabay.com/female_names_alpha.htm
JETTIE,f,0.003,"4,554",1964,1990,http://names.mongabay.com/female_names_alpha.htm
JEWEL,f,0.025,"37,952",522,1990,http://names.mongabay.com/female_names_alpha.htm
